seller_id,archetype,join_month,pivot_month
f682678552b64992a6eb5ee6f25d8467,healthy,2017-01,
b3679d2a69ca4d428cceca4e5c8e5063,healthy,2017-03,
4e646237fb114259adc631bb7ba18bac,healthy,2017-01,
f4c2ff9ac18f4e85920bcb79c48b3dd9,healthy,2017-01,
45c59ef57a8e4dab9417c7755fb100b7,healthy,2017-01,
bea944303e79429b91cdd828d547d525,healthy,2017-01,
4bcea9fb8d214c6fb7b7440d3c572572,healthy,2017-01,
d687f9a28f4e450088da6d82f9d1c7af,healthy,2017-01,
c4ee4fa7bb6a4fdcb930172627648a85,chronic_risk,2017-01,
92ecfda2b55740c3bc02e5d6749d9da3,healthy,2017-01,
2e3b2778e3e740a89fce599e5d4bc490,healthy,2017-01,
5d94017db82f4a258c1582440d271a8d,healthy,2018-01,
e00919a68d1e427083a433394a88259b,chronic_risk,2017-11,
b796ee12bb154f9c84638b46a5104d8b,healthy,2017-01,
788e59fcc2974c1d8b7fc00ca85ea407,chronic_risk,2017-01,
9d8d6f2a42034bfaa609a15e96596df6,chronic_risk,2017-01,
acb0235c8a1144518cb196e06f3c38db,healthy,2017-01,
bfccfa0380714d4988a60053f6ab47f8,healthy,2018-01,
ad07f9b6983844be8bea43029ab72a64,healthy,2017-04,
a13af28f5eb24a7783f1854814847cfb,healthy,2017-01,
0d7b32752beb49e4af6c627ccce4aec6,healthy,2018-01,
1f31c21ce51d40cebd407655e14d6393,deteriorating,2017-01,2018-04
56a349090c674b639f8e88b22c0a51f3,healthy,2017-09,
9d429e3452ad47c0b862566d38f1e35e,healthy,2017-09,
888f94e2fbcc4fc581071a6779f5570a,healthy,2017-05,
e5d13e0ef4a34203b46e32735151827e,chronic_risk,2017-01,
88093110e1e343adb7870d6489a3a5fa,chronic_risk,2017-01,
e92cf573dcc64c0eadc873e8665d75f4,healthy,2017-01,
0b40861a48fc493385ba614275962ee0,healthy,2017-01,
4f5364607eb542b6b7405dd9d648374f,healthy,2017-03,
49629ed6299242978e37609dedd635f2,healthy,2017-01,
47a82e2e0a7944d4af2b5b11f7a73497,healthy,2017-01,
b7ecbff59cdf4a5b8bc2b55894a9f6ef,healthy,2017-01,
f1a0be3afded4a509bd32f870a1801bb,chronic_risk,2017-01,
abd423e68ada4009806446bcfa717604,volatile_small,2017-01,
8e323a8803594b2e994799f98ea2a401,healthy,2017-01,
6712bf75d8284ce9a3babcde98c0f6ca,chronic_risk,2017-01,
b6e2a911972746b2b8b0286b361073f8,chronic_risk,2017-01,
c40f6316d5bd4536aede82741825c2f2,healthy,2017-01,
6e83451d2c06490a80237c3334724b76,healthy,2017-01,
64fc18a5b17045fdbce1763bde41e414,chronic_risk,2017-01,
596a52ca5c6a46bdb88a5ec29c917fa3,healthy,2017-01,
7e2c4f95cd984dc588313b66fbfc8006,healthy,2017-01,
6e089113262b4824bb5c5c9b2db44ca3,healthy,2017-01,
855682afb9554ab28a7c6457eb5518c6,deteriorating,2017-01,2017-07
b6fdabb462f64d7f8dfd5531ba520a26,healthy,2017-01,
adca3747c5ea4403a11f044346895506,healthy,2017-01,
96dc0d7e548f4f009e7a4db4865659d6,deteriorating,2017-01,2017-12
431c00e005e840c69615ac910f5bf17f,deteriorating,2017-01,2018-04
824262ab8afb41c6af6f89dfb1811337,chronic_risk,2017-01,
b419cafbc8694d21bdeabbdd09c954fe,healthy,2017-01,
ad4515261539465dafc9c82f960189c2,healthy,2017-01,
dd81f3ef98fb4dfb9b126885a0236b63,deteriorating,2017-01,2017-05
9eddab7ee8a34160aea79942ddfad370,volatile_small,2017-01,
53e6304161464c8781c8985dff0bd3e0,healthy,2017-01,
a3c00cc9554d41448906fbfe04546cfa,healthy,2017-01,
1e0038c1b3c842b599f1a186848cbfac,healthy,2017-01,
c023e1323bbc4bf9877462a56712ff65,healthy,2017-01,
23f78f0f39aa40e4844ae944b273294e,healthy,2017-05,
e5263917bd3145dfa44883fa5293dc7a,healthy,2017-01,
0d84a6ae92c245098489def29cf45508,chronic_risk,2017-01,
17bb1770acda4762948cf505f7b37268,healthy,2017-09,
fcefcab9c4c24c63aa55c0b808b33d97,chronic_risk,2017-10,
10a0254442534c3c8bb1ffcfdb2383fd,healthy,2017-01,
56766e30dcff45b293470c9146c80922,chronic_risk,2017-01,
a6f1feb65f99417fb6eeaf82ab89ae84,chronic_risk,2017-10,
9b6f50def6654a8e801c7367ac5a8722,healthy,2017-01,
3d516e13a5eb45bdaec1a15ba3e7952e,deteriorating,2017-01,2017-08
56e1008c3c9341deae700b9c1bfdafdc,healthy,2017-01,
8a108dc21b0240e1bcedeb44497842a1,healthy,2017-01,
ff12e3c4f758426392b7556ce3912a58,deteriorating,2017-01,2018-04
9a02fdef21a5433daebc81bc403cc3ec,healthy,2017-01,
531a01a159514b189e40d28790b209dd,healthy,2017-01,
c0406ae1f6aa4872a35c893a3445b266,healthy,2017-01,
a3ea570b767744368187314ed7ee23f4,healthy,2017-11,
18cd73bd7d534417b982ee5b20fe6983,chronic_risk,2017-01,
4b57d95f286a4c40ade6873bb182323b,healthy,2017-08,
1459b88dd91c4910a6e39ff8e916e6d7,healthy,2017-01,
96ccca45c52f4802b6c812c560ee6815,healthy,2017-01,
9363a1cdf19b48e19fed73549214bd87,healthy,2017-01,
8b406a2e9e78494cae16aa8e43eecb5e,healthy,2017-01,
74c4b3acfcb44d3bb1af8315741f6afe,healthy,2017-10,
88860a19cbb24ccc998b4d4f07a0be35,healthy,2017-01,
e8012b7079854af0b05f73a11fd1260d,deteriorating,2017-01,2017-11
eeeec83bdbaa490f818a9c419e385dbb,healthy,2017-01,
90fd9126588540448dd33560bf23ca1e,deteriorating,2017-01,2017-12
98c0ba60c0f64f958641c84af236f87b,healthy,2017-08,
b14bb310f97747b88c5556f1e3b6a5f8,healthy,2017-01,
fea8f790fed04a908f589453c735e761,healthy,2017-01,
1a7f5b1f9427431aad46b2610897533e,volatile_small,2017-07,
b217e2582fe940d5abb7c1b92aef535f,healthy,2017-01,
32d1e78122f54976853a973388236529,healthy,2017-05,
04c793ea2cfe45f3922a32871dcd18d5,healthy,2017-01,
22af968d381f41f694a8c7d2a466d22e,healthy,2017-01,
08913a0372a64edab5910a3056e39992,volatile_small,2017-01,
53a4e659b69e4d56bde57e895a9cd206,healthy,2017-01,
fe0ee605d24c4b09bb23656fd3851aeb,healthy,2017-01,
da42b36d0b0c4e95b77d0eb3c9c8a040,healthy,2017-01,
d9aab45b419a4f01926f9a5274714d95,healthy,2017-01,
3c8ae36bf5994219bb24b232173ef3df,healthy,2017-05,
41c4002919d54ccd85e28ff39e541401,healthy,2017-01,
9dc448e2066640b0a25515b75ed82ca9,healthy,2017-01,
d3637bf363e44fe5bd22a66f7a7bf75d,healthy,2017-07,
da847752f0a7402b915d9f2ff5019600,healthy,2017-01,
e7bf881f81d64bc39e67d9fa0fa0e23d,healthy,2017-01,
fe2b4b09fc6244da8ee8858bde633a0a,deteriorating,2017-01,2017-10
579c922dc15441fab28ee5e3c99694a7,volatile_small,2017-01,
20c576f3fd4040eda101f7651d0b2fc9,healthy,2017-01,
63dbcfc44c11466c9dd29c913ead74ee,deteriorating,2017-01,2018-01
9763d91dec304d438113c43dd5dfd6a3,chronic_risk,2017-01,
dd20d38ce5bf4838955ea027b35448d6,healthy,2017-01,
321af72bc8cc48838233c928917efdf9,healthy,2017-01,
6eb4983cac944d37a2126c3726316338,chronic_risk,2017-11,
ee7c4c5827014f48ba51baa4ecc92e4f,healthy,2017-01,
f30d483620f349fe8369b5a046deddc7,healthy,2017-04,
ded2fd9ec87a4508b867272642637c8a,healthy,2017-01,
1accc436f39643c59058786f94acf10e,healthy,2017-01,
01e271149c0a4cb7a1ab09f9768e0bee,chronic_risk,2017-01,
fe508fd9cdc14dfc8421ed37d0e827dd,healthy,2017-01,
1532adbe79ed4724a6fb7c8d5e45c000,healthy,2017-01,
f06ad4479e304f1ba0a20e9662f3fe1a,healthy,2017-01,
246bfe331a2f4c22811f046b39fda4a3,healthy,2017-03,
87a19fdaea944799b8eeae5f5d602774,healthy,2017-01,
3512e05722c9490e8927f449a20d7bd9,healthy,2017-01,
bfffbf6f29b44fa7a9dbd4810b4db707,healthy,2017-01,
a16cf77c13bb4f948d22a78b6f1ec507,healthy,2017-10,
596ebcd5d0d44d41b183a00fa837e2e8,healthy,2017-01,
61d8eb4cc8a94448a24d275302f60a22,deteriorating,2017-01,2017-06
3a45cc70345448bc9ae7930044efe713,healthy,2017-01,
8e3233aee33a490fb2305e55e1c943de,healthy,2018-01,
7b1258ac73f24271a74a1daf4e5d6e5a,healthy,2017-01,
4b45e7019f6f4213b54abd0b13c4707b,healthy,2017-01,
4c51b6a43bdb496ab68a3c3ab14fd0d5,deteriorating,2017-05,2018-01
08cd014853a5484eb5498c37ae5538a9,volatile_small,2017-01,
88eb836210a34f488eb45ef222c6df96,healthy,2017-01,
b0df4a2bf05d4a7d9712ab2097d19bf7,deteriorating,2017-01,2017-07
3bc5f025b30d4d49b19560f81ac84d4d,healthy,2017-01,
4409d5a94dd34cc8806f7c07bdce77cd,chronic_risk,2017-01,
c2d9cb5b531f484e9301753c0417ff9c,healthy,2017-01,
a83807cf13d34ab7b37b2d9dd891ea51,deteriorating,2017-09,2018-01
f11cb6c737ca486d801fbcae76d4e830,chronic_risk,2017-01,
27a48de5f75244e1aedaf0c63d026b8e,healthy,2017-01,
901e4dc3100d4886a2a2c9f88ed190d6,healthy,2017-01,
8abf22a3fd314c26a7c6e16ef0917284,healthy,2017-01,
c604406f7b154af48e1ee39fee643111,healthy,2017-08,
5d6cbec0ea254da3a27b93f725e6a6ea,healthy,2017-01,
7167c0a66fa3453ab71c8f83826419e0,healthy,2017-01,
49487e5cc58b41f68d06c1c257028493,healthy,2017-01,
8c9df291e7584ff38f2e462b6e7e756e,deteriorating,2017-05,2017-12
6300ab05cbe949f8a5952862ad6a6fee,chronic_risk,2017-01,
96773027475f4942a9cd9c766ea715ab,chronic_risk,2017-01,
69dfa6e59c4f4da69d94b0bfc2651a9a,chronic_risk,2017-01,
8ad9ed3e0aa342579730f392a7e10879,healthy,2017-01,
94c61a8f6c6846518a0ba313d2545aa4,healthy,2017-01,
bb4ae27690cf45f8be14fd35583c7a96,volatile_small,2017-01,
00413ad6e17e4c36be840a0261141fcb,chronic_risk,2017-01,
2423d79daaac4f6c817b0be200057b8a,healthy,2017-01,
14ee7c320b474823b9d855d550b0e853,healthy,2017-01,
14d952379da845519992d3a0b1e20d87,healthy,2017-01,
03d060be69b648649c28a3ec106f3b69,healthy,2017-01,
6d11c9cfe4884f35b3ceb35fbc88be61,healthy,2017-01,
b98df8225c734bdeaa9e593b1f5220de,healthy,2017-01,
73f9ebbffaea4433816a2233c6b66e77,healthy,2017-01,
63df5f32a9014f02ab3277fbe796d3ee,healthy,2017-01,
a23c1c705fd94901ab0b2e246ca24d20,healthy,2017-01,
e2a8ece4e0264746be6689e9fc26b88b,healthy,2017-12,
a21ad8cf2b76453cb819ad76c33fb4fc,volatile_small,2017-01,
b7d1f94358ab4d3ca05fc4bdd7fbc3c9,chronic_risk,2017-01,
de0263a0f88c4e00a29564e50ef96954,healthy,2017-01,
a04d558f2537485ca58a35800965faea,deteriorating,2017-01,2017-12
810a1d00eaa344a09ba88ba3985c7ab7,healthy,2017-01,
661b6f3650f142aca45fedf0bba12c53,healthy,2017-01,
43be8e1dcbac4199a0113b4fc2edc712,healthy,2017-01,
66cae0d537634b52a9943a8203cd6cec,healthy,2017-01,
7505c4831267446db4381ea01bb677d1,deteriorating,2017-01,2017-06
4691b52958b743ad95d2576f841dc98d,healthy,2017-01,
d40a4e3a896d42ef97d58f1d45ea030b,healthy,2017-01,
673ac8d7e551482d896bd34b5f1516ed,chronic_risk,2017-01,
